# ./FR-trace starting at Fri Nov  2 19:43:34 2018
################# CONFIG #################
# slot=5400
# samples=10000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_mul 0x22ea
#   monitor1=./num ybn_sqr 0x2b7d
#   monitor2=./num ybn_modexp 0x2d9f
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
205 196 83 
208 196 83 
205 267 80 
205 202 80 
205 199 80 
202 199 80 
208 199 80 
208 199 80 
731 199 83 
624 853 80 
387 185 72 
205 199 69 
208 196 72 
205 199 72 
279 666 83 
205 199 80 
205 202 80 
205 199 80 
202 199 80 
208 199 80 
208 199 80 
205 199 80 
194 199 83 
841 199 83 
205 202 83 
214 199 83 
205 196 72 
205 202 83 
208 199 83 
205 199 80 
205 199 80 
202 199 80 
208 199 80 
208 199 80 
205 250 72 
208 199 83 
428 398 80 
205 202 83 
205 188 72 
208 202 83 
306 196 83 
205 196 83 
205 199 80 
205 199 80 
419 502 86 
205 199 83 
208 199 83 
191 199 83 
205 199 83 
191 199 83 
205 199 69 
208 196 72 
205 199 72 
205 199 80 
205 199 83 
419 196 83 
77 226 83 
205 202 187 
205 202 187 
208 199 190 
277 199 589 
202 199 190 
191 199 190 
205 199 176 
205 199 179 
205 199 179 
205 199 187 
205 199 190 
205 199 187 
202 199 187 
550 196 193 
205 202 187 
191 196 190 
194 199 193 
205 199 190 
194 559 190 
208 199 190 
407 249 315 
576 199 187 
205 202 187 
205 199 190 
205 199 187 
202 199 187 
202 202 187 
205 199 190 
692 196 193 
194 199 193 
226 199 588 
191 199 193 
205 199 176 
205 199 179 
205 199 179 
205 199 187 
205 199 190 
205 199 187 
202 199 187 
202 202 187 
205 199 190 
208 199 190 
194 199 193 
779 196 193 
208 199 193 
205 199 176 
205 199 179 
205 199 179 
205 202 187 
205 196 190 
205 199 187 
202 199 187 
360 368 193 
205 199 190 
767 202 190 
208 199 193 
208 202 193 
205 188 190 
906 196 193 
205 202 187 
264 199 193 
205 196 190 
205 196 190 
205 199 187 
202 199 187 
202 202 187 
205 199 190 
208 199 190 
194 199 193 
205 199 190 
194 199 190 
205 199 176 
205 199 179 
205 199 179 
205 202 187 
380 199 193 
425 413 350 
476 199 193 
205 199 193 
205 199 193 
205 199 190 
208 199 193 
208 202 193 
205 188 190 
205 188 179 
270 303 737 
205 199 179 
205 199 187 
205 199 190 
205 199 187 
508 199 193 
205 202 187 
205 199 190 
208 199 190 
194 199 193 
205 199 190 
1014 589 490 
205 196 176 
205 199 179 
205 196 179 
205 202 187 
306 609 362 
208 199 187 
205 199 187 
202 202 187 
612 199 193 
194 199 190 
208 199 193 
205 199 190 
194 199 190 
205 199 176 
205 199 179 
205 196 179 
205 202 187 
205 199 190 
205 199 187 
202 202 187 
202 202 187 
205 199 190 
607 196 583 
731 199 193 
208 199 190 
194 199 190 
205 199 176 
205 199 179 
205 199 179 
178 363 190 
205 196 190 
208 199 187 
205 199 187 
202 202 187 
205 199 190 
208 199 190 
194 199 193 
205 199 190 
844 199 193 
208 199 190 
196 261 190 
205 199 190 
205 202 187 
205 196 190 
208 199 187 
205 199 187 
202 202 187 
205 199 190 
208 199 190 
194 199 193 
205 199 190 
488 264 193 
205 199 176 
205 199 179 
205 199 179 
211 199 505 
205 202 187 
205 202 187 
202 199 187 
202 202 187 
205 199 190 
208 199 238 
205 199 190 
194 202 190 
194 199 190 
205 199 176 
205 199 179 
205 199 179 
205 202 187 
205 199 190 
443 196 193 
208 199 187 
208 196 193 
208 199 187 
205 199 190 
286 565 193 
194 199 190 
208 199 190 
205 199 176 
330 199 193 
205 199 179 
205 202 187 
205 199 190 
205 199 187 
205 199 187 
550 196 193 
205 202 187 
191 196 190 
241 692 288 
205 199 190 
194 199 190 
205 199 176 
205 199 179 
205 199 179 
205 196 190 
205 196 190 
205 199 187 
202 199 187 
202 202 187 
205 199 190 
692 196 193 
